date,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Time,Payment,cogs,gross margin percentage,gross income,Rating,check_total
2021-01-01,750-67-8428,A,Banglore,Member,Female,Health And Beauty,74.69,7,26.1415,548.9715,13:08,Ewallet,522.83,4.761904762,26.1415,9.1,548.9714999999999
2021-01-04,226-31-3081,C,Vizag,Normal,Female,Electronic Accessories,15.28,5,3.82,80.22,10:29,Cash,76.4,4.761904762,3.82,9.6,80.21999999999998
2021-01-05,631-41-3108,A,Banglore,Normal,Male,Home And Lifestyle,46.33,7,16.2155,340.5255,13:23,Credit Card,324.31,4.761904762,16.2155,7.4,340.5255
2021-01-06,123-19-1176,A,Banglore,Member,Male,Health And Beauty,58.22,8,23.288,489.048,20:33,Ewallet,465.76,4.761904762,23.288,8.4,489.048
2021-01-07,373-73-7910,A,Banglore,Normal,Male,Sports And Travel,86.31,7,30.2085,634.3785,10:37,Ewallet,604.17,4.761904762,30.2085,5.3,634.3785
2021-01-08,699-14-3026,C,Vizag,Normal,Male,Electronic Accessories,85.39,7,29.8865,627.6165,18:30,Ewallet,597.73,4.761904762,29.8865,4.1,627.6165
2021-01-11,355-53-5943,A,Banglore,Member,Female,Electronic Accessories,68.84,6,20.652,433.692,14:36,Ewallet,413.04,4.761904762,20.652,5.8,433.692
2021-01-12,315-22-5665,C,Vizag,Normal,Female,Home And Lifestyle,73.56,10,36.78,772.38,11:38,Ewallet,735.6,4.761904762,36.78,8.0,772.38
2021-01-13,665-32-9167,A,Banglore,Member,Female,Health And Beauty,36.26,2,3.626,76.146,17:15,Credit Card,72.52,4.761904762,3.626,7.2,76.146
2021-01-14,692-92-5582,B,Hyderabad,Member,Female,Food And Beverages,54.84,3,8.226,172.746,13:27,Credit Card,164.52,4.761904762,8.226,5.9,172.746
2021-01-15,351-62-0822,B,Hyderabad,Member,Female,Fashion Accessories,14.48,4,2.896,60.816,18:07,Ewallet,57.92,4.761904762,2.896,4.5,60.816
2021-01-18,529-56-3974,B,Hyderabad,Member,Male,Electronic Accessories,25.51,4,5.102,107.142,17:03,Cash,102.04,4.761904762,5.102,6.8,107.14200000000001
